name,age,educational level,number of not paid past credits,dependents,profession,working sector,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,type of credit,requested_loan_duration,debt-to-income ratio after credit,collateral,estimated seizable assets,y-categorical-default,PD_LR,PD_NN,PD_RF
name10,42,ausbildung,0,0,Unemployed_MediumSkilled,Nursing,1300.0,1301.6635126557494,-1.6635126557494004,0.0012796251198072,318.95979094794,0.760925921979789,auto loans,60,0.2466333104643764,46820,49686.38252810077,0,0.35475020135245144,0.3583928,0.23
name11,41,high school or lower,0,1,LowSkilled,Construction,1679.0,1407.0348204487743,271.9651795512257,0.0,1465.447978926002,0.94731706133038,auto loans,24,0.7108295410213081,12980,15034.408193688612,1,0.3132978453184836,0.22872484,0.39
name12,60,bachelor degree,0,0,HighSkilled,Consultant,6665.0,14129.40217551368,-7464.40217551368,1.1199403114049031,2258.4777386803376,0.6320127019444383,simple loans,48,1.4587966863006778,63828,54511.32659392855,0,0.41546137091222624,0.25746354,0.24
name13,40,ausbildung,1,1,MediumSkilled,Teacher,2423.0,2986.0795241278074,-563.0795241278074,0.2323894032718974,1203.078139569932,0.676907946097731,auto loans,36,0.7289136044976225,0,3716.432352898185,1,0.6329406380208465,0.75228345,0.76
name14,35,high school or lower,1,1,Unemployed_LowSkilled,Agriculture,500.0,459.97298976051405,40.027010239485946,0.0,268.5310983942982,0.6954762054310528,auto loans,48,0.4570081763096245,21417,23311.86689413362,1,0.6549029130103325,0.73640835,0.77
name15,44,post graduate degree,0,0,HighSkilled,Engineering,6647.0,5347.203563544179,1299.796436455821,0.0,6551.889350212471,0.3249298514802284,auto loans,24,0.7901448644135174,32386,52665.50412310246,0,0.06383095845416717,0.047917504,0.04
name16,50,bachelor degree,0,0,HighSkilled,Finance,7285.0,6673.533523564314,611.4664764356858,0.0,6235.591312363301,0.9255691754691648,simple loans,36,0.7720143906558153,49739,75369.17410056724,0,0.25395597132978714,0.20478208,0.06
name17,37,bachelor degree,1,0,HighSkilled,Finance,4468.0,4327.014211816151,140.98578818384885,0.0,3575.555036793449,0.6912532868571089,auto loans,36,0.7687039500021486,72798,83718.11884045607,1,0.3613071379670646,0.52195954,0.68
name18,49,bachelor degree,0,1,HighSkilled,Consultant,3500.0,6146.737065564063,-2646.7370655640634,0.756210590161161,2507.547061052595,0.8584020427570667,simple loans,36,1.4726526076047597,76840,102595.2545960351,0,0.29350199056341947,0.15856019,0.17
name19,60,high school or lower,3,0,LowSkilled,Cleaning Services,2435.0,1491.3539696591142,943.6460303408858,0.0,652.7679526042231,0.9865698657384738,simple loans,12,0.0,0,4109.010375967099,1,0.9302062593071369,0.9025276,0.52
name20,36,high school or lower,1,2,LowSkilled,Agriculture,1106.0,839.8345989142217,266.1654010857783,0.0,446.1225638422746,0.7030144554507314,simple loans,24,0.1627099120763981,11577,16655.201011991227,1,0.5151223934264444,0.4237161,0.79
name21,43,ausbildung,1,2,MediumSkilled,IT Support,2921.0,2304.452226105704,616.5477738942964,0.0,2812.744974425314,0.796569366404821,auto loans,48,0.7518648409897356,10468,16951.696913657543,1,0.4845261296620622,0.56274337,0.77
name22,52,bachelor degree,2,0,HighSkilled,Doctor,6565.0,7699.040453040245,-1134.0404530402448,0.1727403584219717,5723.261596214687,0.6880454594098508,auto loans,48,1.044524303009129,20802,29590.885774166047,1,0.48516561054928453,0.47284088,0.7
name23,34,post graduate degree,1,0,HighSkilled,Finance,3561.0,2249.7663339930223,1311.2336660069775,0.0,3538.205923810805,0.612385929457932,simple loans,48,0.625378336928904,55705,60441.05958796222,0,0.38339301689690103,0.27777427,0.17
name24,31,ausbildung,0,0,MediumSkilled,Artist,1702.0,2567.6740239790665,-865.6740239790665,0.5086216357103799,554.3581652839979,0.9009434419808054,simple loans,60,0.8343314860535044,24661,29875.74615616463,1,0.7724524965362244,0.6632129,0.8
name25,45,high school or lower,0,0,Unemployed_LowSkilled,Agriculture,750.0,480.2560455486088,269.74395445139123,0.0,234.38881284732835,0.3430072311680986,mortgages,36,0.0,19586,19880.671464566734,0,0.21394375464658702,0.13693626,0.18
name26,45,high school or lower,1,1,LowSkilled,Construction,1174.0,2349.264142809276,-1175.2641428092757,1.0010767826314102,544.1471326225493,0.3153011844722694,simple loans,36,1.4645751920202936,23397,22610.84707741721,1,0.6657333410179583,0.6235391,0.78
name27,48,high school or lower,0,0,Unemployed_LowSkilled,Agriculture,900.0,707.6246852681436,192.3753147318564,0.0,846.2337510139636,0.834124492216607,mortgages,48,0.7265093736467857,0,1748.3988487968224,0,0.39320567228593056,0.40901476,0.36
name28,47,high school or lower,1,0,Unemployed_LowSkilled,Transportation,900.0,692.3414772802997,207.65852271970027,0.0,642.6586648552887,0.4066933311201139,auto loans,12,0.4833334912617649,23206,26468.597026618063,1,0.6257295304269413,0.6838316,0.79
name29,40,ausbildung,0,0,MediumSkilled,Electrician,2058.0,1401.6019617830875,656.3980382169123,0.0,1476.8703630248942,0.4634721288841277,mortgages,48,0.3986745990320612,26385,30365.423949950346,0,0.13617207085301516,0.1776607,0.19
name30,36,high school or lower,0,1,Unemployed_LowSkilled,Construction,600.0,489.020488304632,110.979511695368,0.0,518.7607094286191,0.6051009066747461,auto loans,48,0.6796353295554185,0,939.8751853832472,0,0.3045156434495212,0.44339734,0.53
name31,49,high school or lower,0,1,LowSkilled,Manufacturing,1569.0,1201.4013282364167,367.5986717635833,0.0,442.9199586147132,0.9139418038320004,mortgages,48,0.0480059189618418,0,2939.107818034451,1,0.4395851565169606,0.48999795,0.68
name32,58,bachelor degree,1,0,HighSkilled,Research,4500.0,5306.746678051752,-806.7466780517516,0.1792770395670559,4004.7493510722215,0.7179836380626232,auto loans,12,1.0692213398053274,0,10325.381496505195,1,0.5505661467594993,0.6069067,0.75
name33,56,high school or lower,0,0,LowSkilled,Manufacturing,1628.0,1788.3420455942585,-160.34204559425825,0.0984901999964731,1250.7882489226588,0.5616948973975018,auto loans,24,0.8667876501946665,17158,23332.772122081424,0,0.25958625068451696,0.32968125,0.13
name34,32,post graduate degree,0,0,HighSkilled,Finance,3527.0,3833.677609472888,-306.67760947288843,0.0869514061448507,2756.248992686513,0.7436856534391563,auto loans,48,0.8684226260729803,11229,21651.82880866585,1,0.2489339232126688,0.23661907,0.58
name35,45,ausbildung,1,1,MediumSkilled,IT Support,3190.0,1575.3913996928618,1614.6086003071382,0.0,2667.3820489884315,0.4468626899316715,mortgages,48,0.3300230246649822,0,7452.026720189499,1,0.2890202831846882,0.49650636,0.63
name36,47,high school or lower,1,0,LowSkilled,Cleaning Services,2278.0,2682.165177157665,-404.16517715766486,0.1774210610876491,1714.3981650425535,0.3810253133801369,simple loans,24,0.9300102467955303,0,3507.849354043673,0,0.4678125956531016,0.5510037,0.25
name37,49,bachelor degree,0,1,HighSkilled,Finance,9322.0,7183.637653224194,2138.362346775806,0.0,6028.887440994896,0.3137454306184563,auto loans,48,0.4173487550117024,32301,66593.71155396139,0,0.1135434857020514,0.08195783,0.07
name38,51,bachelor degree,1,0,HighSkilled,Doctor,4000.0,4500.60358687581,-500.6035868758099,0.1251508967189525,2984.1146340963487,0.5208400568707696,auto loans,36,0.8711795552430397,26731,33605.52438191285,0,0.14234281219993142,0.10875846,0.11
name39,42,bachelor degree,1,0,HighSkilled,Doctor,5597.0,5419.69298458202,177.30701541798044,0.0,5570.406586922106,0.885702286261617,auto loans,48,0.9635696929612516,21560,35165.75571358727,0,0.28556934201493445,0.2696005,0.14
name40,39,bachelor degree,0,0,HighSkilled,Finance,4627.0,2607.7229425487285,2019.2770574512715,0.0,2090.3039474255943,0.3318684334300203,auto loans,48,0.0153505273339794,19195,32527.45415892181,0,0.08323180046430821,0.056971066,0.12
name41,47,high school or lower,0,1,LowSkilled,Manufacturing,1536.0,1266.0230448447164,269.9769551552836,0.0,1171.147878039443,0.3443249029620304,auto loans,24,0.5866998195860412,0,2782.875736856301,0,0.19921169073506867,0.21291842,0.16
name42,59,ausbildung,0,1,Unemployed_MediumSkilled,IT Support,2000.0,2179.569025776673,-179.56902577667324,0.0897845128883366,613.6067413933264,0.5066787439840248,auto loans,48,0.3965878835849998,30014,35152.97935219808,0,0.09144852139930167,0.12903431,0.09
name43,57,ausbildung,1,1,MediumSkilled,Nursing,5025.0,2790.2711328833784,2234.7288671166216,0.0,3379.5958885379446,0.6936216976501093,simple loans,48,0.2278342331186712,17974,32171.878462152257,1,0.6757520404887221,0.7833377,0.67
name44,53,ausbildung,1,0,MediumSkilled,Artist,2855.0,4823.7450024291165,-1968.7450024291163,0.6895779343009165,2690.7393744937326,0.9013823099061836,auto loans,12,1.6320435645964446,44971,38987.23989727315,1,0.9205395858264808,0.9199666,0.82
name45,30,bachelor degree,2,2,HighSkilled,Consultant,3976.0,3028.396298737864,947.6037012621364,0.0,2706.3113868998075,0.9602123135428122,simple loans,48,0.4423309068505209,21841,32928.19436145364,0,0.6107378984765272,0.5990482,0.18
name46,54,ausbildung,0,1,MediumSkilled,Nursing,3292.0,2279.0267932111983,1012.9732067888016,0.0,1313.730851238315,0.590530757956974,auto loans,24,0.0913601593103017,31498,39299.61583480983,0,0.3703594031227199,0.34687945,0.15
name47,57,post graduate degree,1,0,Unemployed_HighSkilled,Finance,4500.0,2560.209228983692,1939.790771016308,0.0,2201.001665783284,0.3247643116977253,auto loans,12,0.0580468655037724,49452,62956.52474901182,1,0.20920973521346123,0.2542222,0.17
name48,56,high school or lower,3,0,LowSkilled,Construction,2560.0,1949.322557065284,610.6774429347163,0.0,2099.909723480692,0.6989690856435089,auto loans,48,0.5817313595882717,23564,28648.32367750889,0,0.7852011264865504,0.66553867,0.25
name49,41,ausbildung,1,0,MediumSkilled,Electrician,2714.0,3240.1723897071693,-526.1723897071693,0.1938733934072105,2227.2904307354133,0.4553391064346804,auto loans,60,1.0145404644224696,49266,57933.30468385528,0,0.37925557444059693,0.5234339,0.16
name50,44,ausbildung,1,0,MediumSkilled,Electrician,2745.0,1998.5243716179684,746.4756283820316,0.0,1827.9667761961791,0.3108704412413696,auto loans,24,0.3939858461982322,42650,54104.99651353643,0,0.23900642465394045,0.23904544,0.31
name51,39,bachelor degree,0,0,HighSkilled,Research,3286.0,5056.569584764743,-1770.569584764743,0.5388221499588384,2354.7228037562386,0.5780296683829778,auto loans,36,1.2554146039321308,31254,33087.094481619686,1,0.4805023889031212,0.39396995,0.68
name52,52,bachelor degree,2,0,HighSkilled,Consultant,4000.0,8552.589827679541,-4552.5898276795415,1.1381474569198853,2153.3595510321275,0.5407690840357491,auto loans,48,1.6764873446779172,58460,52989.622692260535,1,0.7826378099293554,0.7769378,0.79
name53,58,high school or lower,0,0,LowSkilled,Transportation,1543.0,2814.7672178000053,-1271.7672178000053,0.824217250680496,1241.5804877191208,0.5849303458534184,mortgages,24,1.6288708396105809,0,1595.5547770197938,1,0.626910750187749,0.42793855,0.82
name54,41,bachelor degree,2,0,HighSkilled,Research,5381.0,6352.218601977608,-971.2186019776082,0.1804903553201279,3499.2444053901654,0.6325991492403534,auto loans,36,0.8307866581244701,20640,30756.267582589164,0,0.8133367404550503,0.7214977,0.34
name55,50,high school or lower,0,0,LowSkilled,Manufacturing,1744.0,2145.9788942229984,-401.9788942229984,0.2304924852196092,999.6226169291716,0.6779493287943101,simple loans,36,0.8036705912569783,0,2512.181906626397,1,0.39709837973777207,0.5397561,0.67
name56,56,bachelor degree,2,2,HighSkilled,Consultant,9198.0,8882.558465979437,315.44153402056327,0.0,4302.620614680469,0.4688619770024405,mortgages,36,0.4334832659991199,29401,56413.32189533504,0,0.36583804826082,0.32498318,0.23
name57,55,ausbildung,0,0,MediumSkilled,Nursing,3760.0,3312.601070686433,447.3989293135669,0.0,3742.336934327639,0.8007708268583096,auto loans,48,0.8763132992058701,33092,45815.67763438885,0,0.434348846700391,0.42771545,0.16
name58,53,bachelor degree,1,0,HighSkilled,Consultant,10252.0,6212.20229120002,4039.79770879998,0.0,3713.348665725318,0.8116639630040717,auto loans,24,0.0,32099,61708.75052352225,0,0.3183149284671111,0.3063449,0.1
name59,43,ausbildung,1,1,MediumSkilled,Nursing,2075.0,2067.5064640481933,7.493535951806734,0.0,1265.474836254057,0.8409637899002574,simple loans,36,0.6062560483384338,0,4005.491690003989,1,0.7221193551930367,0.71715534,0.63
name60,59,bachelor degree,0,1,HighSkilled,Consultant,4500.0,8336.84620866751,-3836.84620866751,0.8526324908150023,2172.90386409604,0.7776636625247167,mortgages,60,1.3355000161696775,56898,57599.81141612594,1,0.30837047340916723,0.45453182,0.78
name61,60,post graduate degree,0,3,HighSkilled,Doctor,11784.0,8283.714707594561,3500.2852924054387,0.0,6277.622832091013,0.3587489623406384,simple loans,24,0.2356871639244377,48555,81472.81836246591,0,0.11979825973965753,0.33714995,0.24
name62,57,ausbildung,1,1,MediumSkilled,Electrician,5423.0,4459.814545882273,963.1854541177272,0.0,4428.959295317032,0.2423785071547583,mortgages,12,0.6390879294116365,0,11036.027686823629,0,0.24265000728095606,0.26924676,0.1
name63,35,ausbildung,0,1,MediumSkilled,Teacher,1406.0,2307.302832056449,-901.302832056449,0.6410404210927803,967.2790984295584,0.606037646889334,simple loans,24,1.3290056404594648,44934,53528.70741711063,0,0.5504412908133239,0.526506,0.61
name64,57,bachelor degree,1,0,HighSkilled,Doctor,5551.0,3976.251096223784,1574.7489037762157,0.0,4314.849444662896,0.2624598220605576,mortgages,36,0.4936228681114538,27164,53783.85580175027,0,0.06790743405226957,0.07155439,0.22
name65,30,ausbildung,1,0,MediumSkilled,Nursing,1430.0,2323.0522322789334,-893.0522322789334,0.6245120505447087,921.0534867726506,0.8228508860772193,mortgages,24,1.2686053979381706,17672,21090.66593847217,1,0.907953259621173,0.8908915,0.85
name66,45,ausbildung,0,0,MediumSkilled,Teacher,2487.0,1791.0647044949733,695.9352955050267,0.0,2291.973057242948,0.9653418565842308,simple loans,48,0.6417522162195098,45674,49700.73927833576,1,0.3876539084946269,0.35307613,0.76
name67,47,high school or lower,3,0,LowSkilled,Agriculture,1764.0,1597.9432636013962,166.0567363986038,0.0,1088.3393242241063,0.4126569356448962,mortgages,48,0.5228359341414414,12778,17427.027186903582,0,0.7284711847577424,0.5661991,0.33
name68,41,ausbildung,1,2,MediumSkilled,Teacher,2675.0,2705.447692902219,-30.44769290221893,0.0113823151036332,1967.659195875852,0.4168060114826865,auto loans,12,0.7469558462721759,30046,32813.62516147432,0,0.44134540924034715,0.45648313,0.1
name69,54,ausbildung,1,0,MediumSkilled,Teacher,1841.0,3161.4447798784063,-1320.4447798784065,0.7172432264412854,1052.3612370057429,0.5789009766068627,simple loans,36,1.2888680156893804,11712,15268.20703538034,0,0.6912454727799845,0.62794036,0.22
name70,39,bachelor degree,0,1,HighSkilled,Consultant,3540.0,5792.14181126822,-2252.1418112682195,0.6361982517706835,2489.9187053275896,0.9447857351188362,auto loans,24,1.339565117682432,0,6149.117240498504,0,0.3507234870226504,0.2855531,0.13
name71,31,bachelor degree,0,0,HighSkilled,Engineering,1713.0,4292.882804063193,-2579.8828040631934,1.5060611815897218,813.1097407869657,0.4021792433802032,auto loans,60,1.9807311995622645,16946,18520.174451509774,0,0.43738906772324176,0.66459686,0.51
name72,35,bachelor degree,0,0,HighSkilled,Doctor,3036.0,2362.565410066109,673.434589933891,0.0,1317.2217830724437,0.966803680715566,auto loans,12,0.2120511176345694,72654,83303.18964044606,0,0.14655418844971851,0.1639952,0.07
name73,53,bachelor degree,1,1,HighSkilled,Finance,5227.0,5396.927837579047,-169.92783757904726,0.0325096303001812,1879.0370774628532,0.3340564182330086,simple loans,48,0.3919963487740388,48311,58106.29287334719,0,0.18671860783369928,0.12116996,0.15
name74,44,high school or lower,1,0,LowSkilled,Agriculture,867.0,1176.3564394714138,-309.3564394714137,0.3568125022738336,177.16550037810725,0.8439895125379506,simple loans,24,0.5611556399648454,16353,18978.792150569072,1,0.6602422384852933,0.76013446,0.83
name75,57,ausbildung,1,1,MediumSkilled,Electrician,3568.0,3982.6140426682928,-414.6140426682928,0.1162034872949251,2605.319055209208,0.485186446581798,mortgages,36,0.8463938054589407,40692,48552.87349509259,0,0.34091247612879394,0.3053288,0.09
name76,36,high school or lower,0,0,Unemployed_LowSkilled,Construction,600.0,353.3391229723157,246.66087702768425,0.0,268.4389197451895,0.7323353409782893,auto loans,36,0.0362967378625087,14714,13138.269252034646,0,0.3697468652551034,0.41227967,0.26
name77,37,bachelor degree,0,1,HighSkilled,Finance,4371.0,3026.656133352613,1344.3438666473871,0.0,2828.34786501497,0.2498757386601306,auto loans,48,0.3395113242662051,66706,84000.33293147896,0,0.07990410433396973,0.08739345,0.04
name78,46,high school or lower,0,1,LowSkilled,Construction,1752.0,2675.5949904385525,-923.5949904385524,0.5271660904329637,1435.5483238513034,0.4398525966290698,auto loans,24,1.3465429876083652,19798,21210.51951362271,0,0.2856115815123229,0.29888844,0.17
name79,48,bachelor degree,0,1,Unemployed_HighSkilled,Engineering,3500.0,2650.946561810906,849.0534381890939,0.0,1344.074194142103,0.5846356169239078,auto loans,36,0.1414345017008596,58082,76405.75990405286,0,0.0594923210765819,0.17398775,0.09
name80,55,bachelor degree,0,0,HighSkilled,Engineering,9425.0,5018.206708762882,4406.793291237118,0.0,4330.022344366067,0.6437699734196396,simple loans,24,0.0,76045,86531.35864942506,0,0.11425432473575581,0.07528118,0.06
name81,44,ausbildung,1,0,MediumSkilled,IT Support,2515.0,2921.3039684329938,-406.30396843299377,0.1615522737308126,2007.1248888385485,0.918626297858392,auto loans,36,0.9596138597501164,0,5244.302277832673,0,0.5551917935684545,0.5570101,0.27
name82,43,high school or lower,1,1,Unemployed_LowSkilled,Transportation,750.0,731.5843152710972,18.41568472890276,0.0,536.2124200459172,0.5580511783029447,auto loans,48,0.6903956470893525,20198,20402.1500945693,1,0.7165976113474114,0.6944656,0.85
name83,57,bachelor degree,1,1,HighSkilled,Doctor,12421.0,8444.081687209791,3976.918312790209,0.0,11875.854854837991,0.2652373537970967,auto loans,60,0.6359340264107385,48578,81328.1557696034,0,0.17933536540705153,0.2394264,0.12
name84,43,high school or lower,0,1,LowSkilled,Cleaning Services,1606.0,1604.3824907055737,1.617509294426327,0.0,730.551513409055,0.2373332290222703,simple loans,48,0.4538816962108522,8725,11801.204506983162,0,0.1564102060661911,0.08067329,0.12
name85,53,ausbildung,0,0,MediumSkilled,Teacher,3540.0,2029.1538878561817,1510.8461121438183,0.0,3105.184676769082,0.4678205387778354,mortgages,12,0.450378125600357,39885,48180.58695908824,0,0.18757014285558374,0.13656609,0.29
name86,60,post graduate degree,0,0,HighSkilled,Doctor,7305.0,5202.341550411574,2102.6584495884263,0.0,5286.209871234643,0.8108877651441319,simple loans,48,0.4358044382814807,46918,74834.16721392248,0,0.12229231730006349,0.13015574,0.06
name87,31,ausbildung,1,1,MediumSkilled,IT Support,1647.0,1258.9589740117003,388.0410259882997,0.0,697.8071052237896,0.7692978867737541,auto loans,36,0.1880789794993867,0,3491.3420390023857,1,0.4782465427058519,0.5371843,0.55
name88,46,high school or lower,0,0,LowSkilled,Transportation,1670.0,1570.2186701888954,99.78132981110456,0.0,1209.0292058582436,0.2968444437567534,auto loans,24,0.6642202850581671,18903,22623.673563841803,0,0.19561800279842406,0.1490739,0.14
name89,36,bachelor degree,2,0,HighSkilled,Engineering,3945.0,7270.725858856843,-3325.725858856843,0.8430230313959044,3068.21798114957,0.5436428410476284,simple loans,24,1.6207715690764035,45418,56897.8915687997,1,0.7127039735257003,0.8489362,0.65
name90,54,ausbildung,1,0,MediumSkilled,Nursing,2576.0,4508.116649700784,-1932.1166497007844,0.750045283268938,1078.1611844806052,0.9999231914768494,auto loans,12,1.168586115753645,25176,28435.376525041476,1,0.9313515359198928,0.91524965,0.9
name91,46,ausbildung,0,0,MediumSkilled,IT Support,3613.0,2317.127256814849,1295.8727431851512,0.0,3586.2231998670227,0.4906036301724452,auto loans,48,0.6339193071358625,0,6880.443313059261,0,0.13430451590389753,0.12246326,0.22
name92,46,bachelor degree,0,0,HighSkilled,Finance,7592.0,7220.295152688785,371.7048473112154,0.0,2065.551792752909,0.4678184672585279,simple loans,12,0.2231094501372093,77865,101803.60752724984,0,0.13227964885390428,0.14012907,0.13
name93,50,ausbildung,0,0,MediumSkilled,Nursing,1995.0,2061.607683147125,-66.6076831471255,0.0333873098481832,898.7919126125136,0.3648566414343142,auto loans,48,0.4839095718093429,45753,38060.10666625985,0,0.2525260365602394,0.22616874,0.12
name94,52,ausbildung,1,0,MediumSkilled,Teacher,3189.0,4934.34985379865,-1745.3498537986495,0.5473031840071024,2860.629035376787,0.2276967195146075,mortgages,48,1.444333298581197,46757,52672.14366663412,1,0.48883010752986844,0.49078497,0.74
name95,50,ausbildung,1,1,MediumSkilled,IT Support,2002.0,2173.8951336781865,-171.89513367818654,0.0858617051339593,616.8382379567882,0.4696124248826847,mortgages,36,0.393972713104383,0,4328.972375502145,0,0.2792035409531542,0.40314138,0.38
name96,43,post graduate degree,0,0,HighSkilled,Doctor,3826.0,3901.112063441607,-75.11206344160655,0.0196320082178793,1276.6545391766597,0.3110108255685471,simple loans,48,0.3533106645630596,0,8597.8547829531,0,0.044349937830560134,0.028705198,0.07
name97,59,ausbildung,0,1,MediumSkilled,Teacher,4202.0,3548.6787233021246,653.3212766978754,0.0,2121.876895312935,0.8728349103533573,mortgages,12,0.3494896760150071,17668,24743.417643148863,0,0.35667478621783305,0.40268663,0.18
name98,34,high school or lower,1,0,Unemployed_LowSkilled,Agriculture,500.0,528.4387197191564,-28.43871971915644,0.0568774394383128,280.7695074570249,0.5284316021379181,mortgages,12,0.6184164543523626,24570,26204.98812246555,1,0.5924714320814802,0.7257051,0.86
name99,46,bachelor degree,0,0,HighSkilled,Consultant,9905.0,9717.55375013616,187.4462498638386,0.0,2369.10542497254,0.7479549222622556,simple loans,48,0.2202583720453004,28501,51505.94611959944,0,0.13355123957755272,0.12314694,0.08
name100,52,high school or lower,1,1,LowSkilled,Agriculture,2350.0,1633.54480654776,716.4551934522399,0.0,901.6765108289492,0.8337676078836674,mortgages,48,0.0788175818624295,7941,12170.064079385182,0,0.50632717741693,0.5893513,0.41
name101,39,ausbildung,0,0,MediumSkilled,Teacher,2575.0,1707.8765627208495,867.1234372791505,0.0,757.5428424354549,0.2197816562308932,simple loans,12,0.0,0,6264.331324545228,0,0.1335113488632831,0.050671592,0.11
name102,36,ausbildung,0,0,MediumSkilled,Teacher,2953.0,1994.8856304774213,958.1143695225784,0.0,1519.2744489037125,0.8455810634964291,simple loans,12,0.1900305043620501,26848,36189.995419188286,0,0.3954898497541774,0.43304357,0.37
name103,31,high school or lower,0,0,LowSkilled,Agriculture,1115.0,1514.5057074995314,-399.50570749953135,0.3583010829592209,467.3712588599848,0.5556200823517272,auto loans,12,0.7774681312641402,5950,7485.221817789576,0,0.3545523745515358,0.28282082,0.23
name104,53,ausbildung,1,0,MediumSkilled,IT Support,2661.0,1720.23268708951,940.76731291049,0.0,1984.6967158076604,0.7003040032040266,auto loans,12,0.3923071788414771,10231,14297.296934242824,0,0.35141360703444846,0.256358,0.19
name105,41,bachelor degree,1,1,HighSkilled,Engineering,7064.0,7638.524930478522,-574.524930478522,0.0813313887993377,2642.882976882608,0.8734614307962488,mortgages,48,0.4554654455494238,49735,61455.58160823022,1,0.37794086302162366,0.4325636,0.4
name106,60,bachelor degree,1,0,HighSkilled,Engineering,8627.0,2411.508068086543,6215.491931913457,0.0,5089.196339209509,0.6136417017378921,simple loans,24,0.0,26736,52577.83131414459,0,0.18407054734593836,0.21373548,0.11
name107,49,bachelor degree,0,1,HighSkilled,Doctor,8899.0,6205.042198658317,2693.957801341683,0.0,3572.8477522037574,0.2253908384219105,auto loans,12,0.0987627768133581,64631,72755.78768825335,0,0.06221021618671691,0.072760805,0.0
name108,57,high school or lower,0,1,LowSkilled,Cleaning Services,1681.0,1734.9842848296532,-53.984284829653234,0.0321143871681458,870.6313555577659,0.5434801324085963,auto loans,60,0.5500390484160732,24810,25841.52572110796,0,0.2245838271845322,0.08989522,0.11
name109,60,high school or lower,2,1,Unemployed_LowSkilled,Manufacturing,1100.0,1585.7735915043577,-485.7735915043575,0.4416123559130522,449.9407553960012,0.6014209800067198,auto loans,12,0.8506494062730533,12164,11709.757774270793,1,0.9251603666419621,0.9168785,0.85
name110,49,bachelor degree,0,0,Unemployed_HighSkilled,Consultant,3500.0,2521.608075983567,978.3919240164332,0.0,1877.5939618569196,0.8009399070450969,auto loans,12,0.2569148679544246,69585,78697.86840333567,0,0.09321971058215636,0.078898005,0.04
name111,36,bachelor degree,0,1,HighSkilled,Engineering,4396.0,4955.252178148048,-559.2521781480482,0.1272184208708026,3624.747711425087,0.9413636207953486,auto loans,48,0.9517743151895212,52100,58559.0867536695,1,0.1921967412971167,0.14669372,0.18
name112,54,bachelor degree,1,0,Unemployed_HighSkilled,Finance,4000.0,3546.0903859500936,453.9096140499064,0.0,2760.051279687001,0.5215554022132667,auto loans,48,0.5765354164092737,50090,58911.28005078395,1,0.21490290930616657,0.45321894,0.47
